SITE_NAME,BEGIN,END,daysPeriod,KWH_PERIOD,kwhPerDay,PERIOD_EUR,nbInvoice
0001BB,2018-01-01,2018-01-31,30,2447,81.57,"316,46", 
0001BB,2018-02-01,2018-02-28,27,2211,81.89,"286,82", 
0001BB,2018-03-01,2018-03-31,30,2450,81.67,"317,32", 
0001BB,2018-04-01,2018-04-30,29,2431,83.83,"315,00", 
0001BB,2018-05-01,2018-05-31,30,2574,85.8,"333,37", 
0001BB,2018-06-01,2018-06-30,29,2830,97.59,"365,27", 
0001BB,2018-07-01,2018-07-31,30,3028,100.93,"390,39", 
0001BB,2018-08-01,2018-08-31,30,3053,101.77,"393,99", 
0001BB,2018-09-01,2018-09-30,29,2915,100.52,"378,35", 
0001BB,2018-10-01,2018-10-31,30,2986,99.53,"387,05", 
0001BB,2018-11-01,2018-11-30,29,2871,99.0,"372,47", 
0001BB,2018-12-01,2018-12-31,30,3086,102.87,"399,30", 
0001BB,2019-01-01,2019-01-31,30,3094,103.13,"381,40", 
0001BB,2019-02-01,2019-02-28,27,2767,102.48,"345,87", 
0001BB,2019-03-01,2019-03-31,30,3059,101.97,"378,18", 
0001BB,2019-04-01,2019-04-30,29,2761,95.21,"340,84", 
0001BB,2019-05-01,2019-05-31,30,2844,94.8,"349,26", 
0001BB,2019-06-01,2019-06-30,29,3009,103.76,"369,19", 
0001BB,2019-07-01,2019-07-31,30,3016,100.53,"371,20", 
0001BB,2019-08-01,2019-08-31,30,3089,102.97,"380,42", 
0001BB,2019-09-01,2019-09-30,29,2914,100.48,"361,36", 
0001BB,2019-10-01,2019-10-31,30,2963,98.77,"366,70", 
0001BB,2019-11-01,2019-11-30,29,2797,96.45,"345,89", 
0001BB,2019-12-01,2019-12-31,30,2859,95.3,"353,08", 
0001BB,2020-01-01,2020-01-31,30,2863,95.43,"414,93", 
0001BB,2020-02-01,2020-02-29,28,2663,95.11,"387,22", 
0001BB,2020-03-01,2020-03-31,30,2759,91.97,"403,25", 
0001BB,2020-04-01,2020-04-30,29,2680,92.41,"390,79", 
0001BB,2020-05-01,2020-05-31,30,2797,93.23,"407,48", 
0001BB,2020-06-01,2020-06-30,29,2796,96.41,"407,77", 
0001BB,2020-07-01,2020-07-31,30,2952,98.4,"429,09", 
0001BB,2020-08-01,2020-08-31,30,3014,100.47,"435,98", 
0001BB,2020-09-01,2020-09-30,29,2857,98.52,"411,97", 
0001BB,2020-10-01,2020-10-31,30,2905,96.83,"413,41", 
0001BB,2020-11-01,2020-11-30,29,2755,95.0,"383,02", 
0001BR,2018-01-01,2018-01-31,30,2438,81.27,"266,43", 
0001BR,2018-02-01,2018-02-28,27,2211,81.89,"242,33", 
0001BR,2018-03-01,2018-03-31,30,2453,81.77,"267,95", 
0001BR,2018-04-01,2018-04-30,29,2414,83.24,"263,78", 
0001BR,2018-05-01,2018-05-31,30,2517,83.9,"274,62", 
0001BR,2018-06-01,2018-06-30,29,2461,84.86,"268,63", 
0001BR,2018-07-01,2018-07-31,30,2560,85.33,"279,26", 
0001BR,2018-08-01,2018-08-31,30,2597,86.57,"283,07", 
0001BR,2018-09-01,2018-09-30,29,2436,84.0,"267,99", 
0001BR,2018-10-01,2018-10-31,30,2497,83.23,"274,50", 
0001BR,2018-11-01,2018-11-30,29,2397,82.66,"263,82", 
0001BR,2018-12-01,2018-12-31,30,2452,81.73,"269,69", 
0001BR,2019-01-01,2019-01-31,30,2460,82.0,"264,03", 
0001BR,2019-02-01,2019-02-28,27,2229,82.56,"239,96", 
0001BR,2019-03-01,2019-03-31,30,2475,82.5,"265,56", 
0001BR,2019-04-01,2019-04-30,29,2410,83.1,"258,76", 
0001BR,2019-05-01,2019-05-31,30,2508,83.6,"268,92", 
0001BR,2019-06-01,2019-06-30,29,2529,87.21,"270,94", 
0001BR,2019-07-01,2019-07-31,30,2593,86.43,"277,63", 
0001BR,2019-08-01,2019-08-31,30,2603,86.77,"278,60", 
0001BR,2019-09-01,2019-09-30,29,2595,89.48,"277,20", 
0001BR,2019-10-01,2019-10-31,30,2708,90.27,"288,79", 
0001BR,2019-11-01,2019-11-30,29,2595,89.48,"277,07", 
0001BR,2019-12-01,2019-12-31,30,2648,88.27,"282,57", 
0001BR,2020-01-01,2020-01-31,30,2600,86.67,"330,81", 
0001BR,2020-02-01,2020-02-29,28,2445,87.32,"311,57", 
0001BR,2020-03-01,2020-03-31,30,2609,86.97,"330,32", 
0001BR,2020-04-01,2020-04-30,29,2629,90.66,"332,70", 
0001BR,2020-05-01,2020-05-31,30,2735,91.17,"345,77", 
0001BR,2020-06-01,2020-06-30,29,2687,92.66,"339,78", 
0001BR,2020-07-01,2020-07-31,30,2854,95.13,"360,33", 
0001BR,2020-08-01,2020-08-31,30,2886,96.2,"364,21", 
0001BR,2020-09-01,2020-09-30,29,2761,95.21,"348,79", 
0001BR,2020-10-01,2020-10-31,30,2802,93.4,"353,90", 
0001BR,2020-11-01,2020-11-30,29,2677,92.31,"338,44", 
0001KO,2018-01-01,2018-01-31,30,2179,72.63,"268,53", 
0001KO,2018-02-01,2018-02-28,27,1971,73.0,"243,47", 
0001KO,2018-03-01,2018-03-31,30,2191,73.03,"269,98", 
0001KO,2018-04-01,2018-04-30,29,2370,81.72,"291,55", 
0001KO,2018-05-01,2018-05-31,30,2647,88.23,"324,92", 
0001KO,2018-06-01,2018-06-30,29,2634,90.83,"323,35", 
0001KO,2018-07-01,2018-07-31,30,2799,93.3,"343,43", 
0001KO,2018-08-01,2018-08-31,30,2908,96.93,"356,57", 
0001KO,2018-09-01,2018-09-30,29,2483,85.62,"307,29", 
0001KO,2018-10-01,2018-10-31,30,2297,76.57,"284,72", 
0001KO,2018-11-01,2018-11-30,29,2130,73.45,"264,46", 
0001KO,2018-12-01,2018-12-31,30,2489,82.97,"308,02", 
0001KO,2019-01-01,2019-01-31,30,2679,89.3,"364,03", 
0001KO,2019-02-01,2019-02-28,27,2429,89.96,"330,63", 
0001KO,2019-03-01,2019-03-31,30,2648,88.27,"359,89", 
0001KO,2019-04-01,2019-04-30,29,2478,85.45,"337,18", 
0001KO,2019-05-01,2019-05-31,30,2535,84.5,"344,79", 
0001KO,2019-06-01,2019-06-30,29,2884,99.45,"391,43", 
0001KO,2019-07-01,2019-07-31,30,2872,95.73,"389,82", 
0001KO,2019-08-01,2019-08-31,30,2978,99.27,"403,99", 
0001KO,2019-09-01,2019-09-30,29,2529,87.21,"343,99", 
0001KO,2019-10-01,2019-10-31,30,2487,82.9,"338,38", 
0001KO,2019-11-01,2019-11-30,29,2384,82.21,"324,62", 
0001KO,2019-12-01,2019-12-31,30,2463,82.1,"335,17", 
0001KO,2020-01-01,2020-01-31,30,2454,81.8,"331,90", 
0001KO,2020-02-01,2020-02-29,28,2377,84.89,"321,70", 
0001KO,2020-03-01,2020-03-31,30,2596,86.53,"350,71", 
0001KO,2020-04-01,2020-04-30,29,2675,92.24,"365,40", 
0001KO,2020-05-01,2020-05-31,30,2781,92.7,"375,22", 
0001KO,2020-06-01,2020-06-30,29,2989,103.07,"402,77", 
0001KO,2020-07-01,2020-07-31,30,3322,110.73,"446,89", 
0001KO,2020-08-01,2020-08-31,30,3109,103.63,"418,67", 
0001KO,2020-09-01,2020-09-30,29,2911,100.38,"392,44", 
0001KO,2020-10-01,2020-10-31,30,2747,91.57,"370,72", 
0001KO,2020-11-01,2020-11-30,29,2625,90.52,"354,55", 
0002BB,2018-01-01,2018-01-31,30,2376,79.2,"310,46", 
0002BB,2018-02-01,2018-02-28,27,2160,80.0,"283,07", 
0002BB,2018-03-01,2018-03-31,30,2390,79.67,"313,01", 
0002BB,2018-04-01,2018-04-30,29,2378,82.0,"311,80", 
0002BB,2018-05-01,2018-05-31,30,2529,84.3,"330,93", 
0002BB,2018-06-01,2018-06-30,29,2790,96.21,"363,65", 
0002BB,2018-07-01,2018-07-31,30,2988,99.6,"388,77", 
0002BB,2018-08-01,2018-08-31,30,3019,100.63,"393,19", 
0002BB,2018-09-01,2018-09-30,29,2873,99.07,"376,62", 
0002BB,2018-10-01,2018-10-31,30,2940,98.0,"384,79", 
0002BB,2018-11-01,2018-11-30,29,2821,97.28,"369,46", 
0002BB,2018-12-01,2018-12-31,30,3029,100.97,"395,45", 
0002BB,2019-01-01,2019-01-31,30,3033,101.1,"378,02", 
0002BB,2019-02-01,2019-02-28,27,2684,99.41,"339,51", 
0002BB,2019-03-01,2019-03-31,30,3008,100.27,"376,16", 
0002BB,2019-04-01,2019-04-30,29,2663,91.83,"332,01", 
0002BB,2019-05-01,2019-05-31,30,2741,91.37,"339,86", 
0002BB,2019-06-01,2019-06-30,29,2952,101.79,"364,23", 
0002BB,2019-07-01,2019-07-31,30,2914,97.13,"363,68", 
0002BB,2019-08-01,2019-08-31,30,2965,98.83,"368,84", 
0002BB,2019-09-01,2019-09-30,29,2819,97.21,"352,21", 
0002BB,2019-10-01,2019-10-31,30,2927,97.57,"364,86", 
0002BB,2019-11-01,2019-11-30,29,2773,95.62,"346,35", 
0002BB,2019-12-01,2019-12-31,30,2822,94.07,"351,90", 
0002BB,2020-01-01,2020-01-31,30,2830,94.33,"406,02", 
0002BB,2020-02-01,2020-02-29,28,2625,93.75,"378,86", 
0002BB,2020-03-01,2020-03-31,30,2734,91.13,"396,33", 
0002BB,2020-04-01,2020-04-30,29,2644,91.17,"382,45", 
0002BB,2020-05-01,2020-05-31,30,2753,91.77,"397,69", 
0002BB,2020-06-01,2020-06-30,29,2763,95.28,"399,57", 
0002BB,2020-07-01,2020-07-31,30,2904,96.8,"418,43", 
0002BB,2020-08-01,2020-08-31,30,2962,98.73,"425,38", 
0002BB,2020-09-01,2020-09-30,29,2828,97.52,"406,82", 
0002BB,2020-10-01,2020-10-31,30,2875,95.83,"412,79", 
0002BB,2020-11-01,2020-11-30,29,2739,94.45,"381,14", 
0002BR,2018-01-01,2018-01-31,30,2187,72.9,"239,96", 
0002BR,2018-02-01,2018-02-28,27,1985,73.52,"218,51", 
0002BR,2018-03-01,2018-03-31,30,2209,73.63,"242,16", 
0002BR,2018-04-01,2018-04-30,29,2151,74.17,"235,47", 
0002BR,2018-05-01,2018-05-31,30,2251,75.03,"245,79", 
0002BR,2018-06-01,2018-06-30,29,2207,76.1,"241,00", 
0002BR,2018-07-01,2018-07-31,30,2290,76.33,"249,83", 
0002BR,2018-08-01,2018-08-31,30,2316,77.2,"252,45", 
0002BR,2018-09-01,2018-09-30,29,2172,74.9,"239,10", 
0002BR,2018-10-01,2018-10-31,30,2216,73.87,"244,03", 
0002BR,2018-11-01,2018-11-30,29,2313,79.76,"254,38", 
0002BR,2018-12-01,2018-12-31,30,2659,88.63,"290,96", 
0002BR,2019-01-01,2019-01-31,30,2662,88.73,"284,26", 
0002BR,2019-02-01,2019-02-28,27,2409,89.22,"257,94", 
0002BR,2019-03-01,2019-03-31,30,2707,90.23,"288,61", 
0002BR,2019-04-01,2019-04-30,29,2624,90.48,"279,83", 
0002BR,2019-05-01,2019-05-31,30,2715,90.5,"289,18", 
0002BR,2019-06-01,2019-06-30,29,2741,94.52,"291,44", 
0002BR,2019-07-01,2019-07-31,30,2812,93.73,"298,72", 
0002BR,2019-08-01,2019-08-31,30,2537,84.57,"269,82", 
0002BR,2019-09-01,2019-09-30,29,2414,83.24,"257,19", 
0002BR,2019-10-01,2019-10-31,30,2489,82.97,"265,07", 
0002BR,2019-11-01,2019-11-30,29,2410,83.1,"257,13", 
0002BR,2019-12-01,2019-12-31,30,2493,83.1,"265,86", 
0002BR,2020-01-01,2020-01-31,30,2513,83.77,"319,43", 
0002BR,2020-02-01,2020-02-29,28,2400,85.71,"305,19", 
0002BR,2020-03-01,2020-03-31,30,2646,88.2,"333,77", 
0002BR,2020-04-01,2020-04-30,29,2674,92.21,"337,00", 
0002BR,2020-05-01,2020-05-31,30,2651,88.37,"334,85", 
0002BR,2020-06-01,2020-06-30,29,2586,89.17,"326,84", 
0002BR,2020-07-01,2020-07-31,30,2751,91.7,"347,07", 
0002BR,2020-08-01,2020-08-31,30,2780,92.67,"350,62", 
0002BR,2020-09-01,2020-09-30,29,2660,91.72,"335,86", 
0002BR,2020-10-01,2020-10-31,30,2745,91.5,"346,36", 
0002BR,2020-11-01,2020-11-30,29,2628,90.62,"331,97", 
0002KO,2018-01-01,2018-01-31,30,2312,77.07,"286,36", 
0002KO,2018-02-01,2018-02-28,27,2086,77.26,"259,13", 
0002KO,2018-03-01,2018-03-31,30,2308,76.93,"285,88", 
0002KO,2018-04-01,2018-04-30,29,2245,77.41,"278,29", 
0002KO,2018-05-01,2018-05-31,30,2339,77.97,"289,61", 
0002KO,2018-06-01,2018-06-30,29,2278,78.55,"282,26", 
0002KO,2018-07-01,2018-07-31,30,2348,78.27,"290,86", 
0002KO,2018-08-01,2018-08-31,30,2368,78.93,"293,27", 
0002KO,2018-09-01,2018-09-30,29,2248,77.52,"280,57", 
0002KO,2018-10-01,2018-10-31,30,2300,76.67,"286,88", 
0002KO,2018-11-01,2018-11-30,29,2595,89.48,"322,68", 
0002KO,2018-12-01,2018-12-31,30,2765,92.17,"343,31", 
0002KO,2019-01-01,2019-01-31,30,2766,92.2,"377,48", 
0002KO,2019-02-01,2019-02-28,27,2500,92.59,"341,94", 
0002KO,2019-03-01,2019-03-31,30,2652,88.4,"362,25", 
0002KO,2019-04-01,2019-04-30,29,2483,85.62,"339,67", 
0002KO,2019-05-01,2019-05-31,30,2548,84.93,"348,35", 
0002KO,2019-06-01,2019-06-30,29,2514,86.69,"343,81", 
0002KO,2019-07-01,2019-07-31,30,2557,85.23,"349,55", 
0002KO,2019-08-01,2019-08-31,30,2575,85.83,"351,96", 
0002KO,2019-09-01,2019-09-30,29,2473,85.28,"338,33", 
0002KO,2019-10-01,2019-10-31,30,2550,85.0,"348,62", 
0002KO,2019-11-01,2019-11-30,29,2462,84.9,"336,86", 
0002KO,2019-12-01,2019-12-31,30,2520,84.0,"344,61", 
0002KO,2020-01-01,2020-01-31,30,2524,84.13,"343,21", 
0002KO,2020-02-01,2020-02-29,28,2437,87.04,"331,69", 
0002KO,2020-03-01,2020-03-31,30,2623,87.43,"356,33", 
0002KO,2020-04-01,2020-04-30,29,2632,90.76,"357,52", 
0002KO,2020-05-01,2020-05-31,30,2715,90.5,"368,52", 
0002KO,2020-06-01,2020-06-30,29,2655,91.55,"360,57", 
0002KO,2020-07-01,2020-07-31,30,2794,93.13,"378,98", 
0002KO,2020-08-01,2020-08-31,30,2845,94.83,"385,74", 
0002KO,2020-09-01,2020-09-30,29,2726,94.0,"369,97", 
0002KO,2020-10-01,2020-10-31,30,2797,93.23,"379,38", 
0002KO,2020-11-01,2020-11-30,29,2678,92.34,"363,62", 
0003BB,2018-01-01,2018-01-31,30,2100,70.0,"271,90", 
0003BB,2018-02-01,2018-02-28,27,1897,70.26,"246,46", 
0003BB,2018-03-01,2018-03-31,30,2103,70.1,"272,70", 
0003BB,2018-04-01,2018-04-30,29,2062,71.1,"267,67", 
0003BB,2018-05-01,2018-05-31,30,2144,71.47,"278,24", 
0003BB,2018-06-01,2018-06-30,29,2409,83.07,"311,78", 
0003BB,2018-07-01,2018-07-31,30,2675,89.17,"345,06", 
0003BB,2018-08-01,2018-08-31,30,2701,90.03,"348,81", 
0003BB,2018-09-01,2018-09-30,29,2147,74.03,"280,38", 
0003BB,2018-10-01,2018-10-31,30,3052,101.73,"394,40", 
0003BB,2018-11-01,2018-11-30,29,2527,87.14,"327,92", 
0003BB,2018-12-01,2018-12-31,30,2742,91.4,"354,90", 
0003BB,2019-01-01,2019-01-31,30,2729,90.97,"337,04", 
0003BB,2019-02-01,2019-02-28,27,2353,87.15,"291,99", 
0003BB,2019-03-01,2019-03-31,30,2587,86.23,"319,91", 
0003BB,2019-04-01,2019-04-30,29,2392,82.48,"296,52", 
0003BB,2019-05-01,2019-05-31,30,2476,82.53,"306,30", 
0003BB,2019-06-01,2019-06-30,29,2673,92.17,"331,24", 
0003BB,2019-07-01,2019-07-31,30,2849,94.97,"352,67", 
0003BB,2019-08-01,2019-08-31,30,2868,95.6,"354,63", 
0003BB,2019-09-01,2019-09-30,29,2739,94.45,"338,53", 
0003BB,2019-10-01,2019-10-31,30,2832,94.4,"349,45", 
0003BB,2019-11-01,2019-11-30,29,2700,93.1,"333,53", 
0003BB,2019-12-01,2019-12-31,30,2764,92.13,"341,07", 
0003BB,2020-01-01,2020-01-31,30,2765,92.17,"392,85", 
0003BB,2020-02-01,2020-02-29,28,2544,90.86,"364,42", 
0003BB,2020-03-01,2020-03-31,30,2671,89.03,"383,97", 
0003BB,2020-04-01,2020-04-30,29,2608,89.93,"373,97", 
0003BB,2020-05-01,2020-05-31,30,2691,89.7,"385,30", 
0003BB,2020-06-01,2020-06-30,29,2663,91.83,"381,63", 
0003BB,2020-07-01,2020-07-31,30,2789,92.97,"398,15", 
0003BB,2020-08-01,2020-08-31,30,2839,94.63,"404,26", 
0003BB,2020-09-01,2020-09-30,29,2709,93.41,"386,06", 
0003BB,2020-10-01,2020-10-31,30,2765,92.17,"393,20", 
0003BB,2020-11-01,2020-11-30,29,2642,91.1,"366,39", 
0003BR,2018-01-01,2018-01-31,30,2437,81.23,"266,44", 
0003BR,2018-02-01,2018-02-28,27,2206,81.7,"241,91", 
0003BR,2018-03-01,2018-03-31,30,2446,81.53,"267,32", 
0003BR,2018-04-01,2018-04-30,29,2423,83.55,"264,79", 
0003BR,2018-05-01,2018-05-31,30,2532,84.4,"276,25", 
0003BR,2018-06-01,2018-06-30,29,2478,85.45,"270,43", 
0003BR,2018-07-01,2018-07-31,30,2556,85.2,"278,84", 
0003BR,2018-08-01,2018-08-31,30,2598,86.6,"283,15", 
0003BR,2018-09-01,2018-09-30,29,2453,84.59,"269,79", 
0003BR,2018-10-01,2018-10-31,30,2506,83.53,"275,51", 
0003BR,2018-11-01,2018-11-30,29,2409,83.07,"265,07", 
0003BR,2018-12-01,2018-12-31,30,2455,81.83,"270,01", 
0003BR,2019-01-01,2019-01-31,30,2467,82.23,"264,75", 
0003BR,2019-02-01,2019-02-28,27,2237,82.85,"240,77", 
0003BR,2019-03-01,2019-03-31,30,2494,83.13,"267,47", 
0003BR,2019-04-01,2019-04-30,29,2426,83.66,"260,39", 
0003BR,2019-05-01,2019-05-31,30,2526,84.2,"270,73", 
0003BR,2019-06-01,2019-06-30,29,2566,88.48,"274,67", 
0003BR,2019-07-01,2019-07-31,30,2618,87.27,"280,06", 
0003BR,2019-08-01,2019-08-31,30,2615,87.17,"279,72", 
0003BR,2019-09-01,2019-09-30,29,2484,85.66,"266,17", 
0003BR,2019-10-01,2019-10-31,30,2736,91.2,"291,59", 
0003BR,2019-11-01,2019-11-30,29,2617,90.24,"279,31", 
0003BR,2019-12-01,2019-12-31,30,2660,88.67,"283,77", 
0003BR,2020-01-01,2020-01-31,30,2662,88.73,"338,47", 
0003BR,2020-02-01,2020-02-29,28,2524,90.14,"321,27", 
0003BR,2020-03-01,2020-03-31,30,2694,89.8,"340,71", 
0003BR,2020-04-01,2020-04-30,29,2704,93.24,"341,86", 
0003BR,2020-05-01,2020-05-31,30,2801,93.37,"353,83", 
0003BR,2020-06-01,2020-06-30,29,2743,94.59,"346,60", 
0003BR,2020-07-01,2020-07-31,30,2920,97.33,"368,35", 
0003BR,2020-08-01,2020-08-31,30,2872,95.73,"362,49", 
0003BR,2020-09-01,2020-09-30,29,2818,97.17,"355,93", 
0003BR,2020-10-01,2020-10-31,30,2862,95.4,"361,39", 
0003BR,2020-11-01,2020-11-30,29,2739,94.45,"346,21", 
0003KO,2018-01-01,2018-03-31,89,6293,70.71,"985,04", 
0003KO,2018-04-01,2018-06-30,90,7082,78.69,"1 118,25", 
0003KO,2018-07-01,2018-09-30,91,6740,74.07,"1 066,96", 
0003KO,2018-10-01,2018-12-31,91,8423,92.56,"1 331,26", 
0003KO,2019-01-01,2019-03-31,89,7883,88.57,"1 373,30", 
0003KO,2019-04-01,2019-06-30,90,7024,78.04,"1 229,28", 
0003KO,2019-07-01,2019-09-30,91,7143,78.49,"1 251,45", 
0003KO,2019-10-01,2019-12-31,91,7707,84.69,"1 345,33", 
0003KO,2020-01-01,2020-03-31,90,6561,72.9,"1 058,29", 
0003KO,2020-04-01,2020-06-30,90,7511,83.46,"1 220,24", 
0003KO,2020-07-01,2020-09-30,91,7823,85.97,"1 270,14", 
0004BB,2018-01-01,2018-01-31,30,14414,480.47,"1 369,33", 
0004BB,2018-02-01,2018-02-28,27,12328,456.59,"1 171,16", 
0004BB,2018-03-01,2018-03-31,30,12849,428.3,"1 220,66", 
0004BB,2018-04-01,2018-04-30,29,14535,501.21,"1 380,83", 
0004BB,2018-05-01,2018-05-31,30,14547,484.9,"1 381,97", 
0004BB,2018-06-01,2018-06-30,29,14379,495.83,"1 366,01", 
0004BB,2018-07-01,2018-07-31,30,15907,530.23,"1 511,17", 
0004BB,2018-08-01,2018-08-31,30,15701,523.37,"1 491,60", 
0004BB,2018-09-01,2018-09-30,29,15544,536.0,"1 476,68", 
0004BB,2018-10-01,2018-10-31,30,14691,489.7,"1 395,65", 
0004BB,2018-11-01,2018-11-30,29,14728,507.86,"1 399,16", 
0004BB,2018-12-01,2018-12-31,30,15174,505.8,"1 441,53", 
0004BB,2019-01-01,2019-01-31,30,9410,313.67,"1 246,83", 
0004BB,2019-01-01,2019-01-31,30,15297,509.9,"2 026,85", 
0004BB,2019-02-01,2019-02-28,27,13756,509.48,"1 822,67", 
0004BB,2019-03-01,2019-03-31,30,15810,527.0,"2 094,83", 
0004BB,2019-04-01,2019-04-30,29,14090,485.86,"1 866,93", 
0004BB,2019-05-01,2019-05-31,30,14081,469.37,"1 865,73", 
0004BB,2019-06-01,2019-06-30,29,17034,587.38,"2 257,01", 
0004BB,2019-07-01,2019-07-31,30,14906,496.87,"1 975,05", 
0004BB,2019-08-01,2019-08-31,30,14638,487.93,"1 939,54", 
0004BB,2019-09-01,2019-09-30,29,11200,386.21,"1 484,00", 
0004BB,2019-10-01,2019-10-31,30,12068,402.27,"1 599,01", 
0004BB,2019-11-01,2019-11-30,29,11184,385.66,"1 481,88", 
0004BB,2019-12-01,2019-12-31,30,9904,330.13,"1 312,28", 
0004BB,2020-01-01,2020-01-31,30,9410,313.67,"1 246,83", 
0004BB,2020-02-01,2020-02-29,28,9465,338.04,"1 254,11", 
0004BB,2020-03-01,2020-03-31,30,8849,294.97,"1 172,49", 
0004BB,2020-04-01,2020-04-30,29,9214,317.72,"1 220,86", 
0004BB,2020-05-01,2020-05-31,30,9883,329.43,"1 309,50", 
0004BB,2020-06-01,2020-06-30,29,9050,312.07,"1 199,13", 
0004BB,2020-07-01,2020-07-31,30,9809,326.97,"1 299,69", 
0004BB,2020-08-01,2020-08-31,30,9962,332.07,"1 319,97", 
0004BB,2020-09-01,2020-09-30,29,9092,313.52,"1 204,69", 
0004BB,2020-10-01,2020-10-31,30,8640,288.0,"1 144,80", 
0004BB,2020-11-01,2020-11-30,29,8720,300.69,"1 155,40", 
0004BR,2018-01-01,2018-01-31,30,2276,75.87,"244,43", 
0004BR,2018-02-01,2018-02-28,27,2057,76.19,"221,74", 
0004BR,2018-03-01,2018-03-31,30,2284,76.13,"245,26", 
0004BR,2018-04-01,2018-04-30,29,2253,77.69,"242,04", 
0004BR,2018-05-01,2018-05-31,30,2345,78.17,"251,58", 
0004BR,2018-06-01,2018-06-30,29,2297,79.21,"252,33", 
0004BR,2018-07-01,2018-07-31,30,2389,79.63,"262,18", 
0004BR,2018-08-01,2018-08-31,30,2414,80.47,"264,73", 
0004BR,2018-09-01,2018-09-30,29,2292,79.03,"253,64", 
0004BR,2018-10-01,2018-10-31,30,2355,78.5,"260,41", 
0004BR,2018-11-01,2018-11-30,29,2256,77.79,"249,82", 
0004BR,2018-12-01,2018-12-31,30,2310,77.0,"255,61", 
0004BR,2019-01-01,2019-01-31,30,2313,77.1,"249,80", 
0004BR,2019-02-01,2019-02-28,27,2098,77.7,"227,38", 
0004BR,2019-03-01,2019-03-31,30,2326,77.53,"251,13", 
0004BR,2019-04-01,2019-04-30,29,2264,78.07,"244,61", 
0004BR,2019-05-01,2019-05-31,30,2353,78.43,"253,85", 
0004BR,2019-06-01,2019-06-30,29,2347,80.93,"253,04", 
0004BR,2019-07-01,2019-07-31,30,2402,80.07,"258,77", 
0004BR,2019-08-01,2019-08-31,30,2403,80.1,"258,84", 
0004BR,2019-09-01,2019-09-30,29,2280,78.62,"246,13", 
0004BR,2019-10-01,2019-10-31,30,2610,87.0,"279,47", 
0004BR,2019-11-01,2019-11-30,29,2522,86.97,"270,28", 
0004BR,2019-12-01,2019-12-31,30,2588,86.27,"277,13", 
0004BR,2020-01-01,2020-01-31,30,2599,86.63,"331,44", 
0004BR,2020-02-01,2020-02-29,28,2454,87.64,"313,42", 
0004BR,2020-03-01,2020-03-31,30,2603,86.77,"330,33", 
0004BR,2020-04-01,2020-04-30,29,2616,90.21,"331,85", 
0004BR,2020-05-01,2020-05-31,30,2693,89.77,"341,35", 
0004BR,2020-06-01,2020-06-30,29,2622,90.41,"332,51", 
0004BR,2020-07-01,2020-07-31,30,2764,92.13,"349,96", 
0004BR,2020-08-01,2020-08-31,30,2804,93.47,"354,84", 
0004BR,2020-09-01,2020-09-30,29,2700,93.1,"342,00", 
0004BR,2020-10-01,2020-10-31,30,2760,92.0,"349,45", 
0004BR,2020-11-01,2020-11-30,29,2647,91.28,"326,93", 
0004KO,2018-01-01,2018-01-31,30,2206,73.53,"275,39", 
0004KO,2018-02-01,2018-02-28,27,1996,73.93,"250,09", 
0004KO,2018-03-01,2018-03-31,30,2208,73.6,"275,63", 
0004KO,2018-04-01,2018-04-30,29,2146,74.0,"268,16", 
0004KO,2018-05-01,2018-05-31,30,2261,75.37,"282,01", 
0004KO,2018-06-01,2018-06-30,29,2194,75.66,"273,94", 
0004KO,2018-07-01,2018-07-31,30,2293,76.43,"286,03", 
0004KO,2018-08-01,2018-08-31,30,2325,77.5,"289,89", 
0004KO,2018-09-01,2018-09-30,29,2213,76.31,"278,13", 
0004KO,2018-10-01,2018-10-31,30,2693,89.77,"336,37", 
0004KO,2018-11-01,2018-11-30,29,2597,89.55,"324,72", 
0004KO,2018-12-01,2018-12-31,30,2679,89.3,"334,67", 
0004KO,2019-01-01,2019-01-31,30,2678,89.27,"367,54", 
0004KO,2019-02-01,2019-02-28,27,2416,89.48,"332,53", 
0004KO,2019-03-01,2019-03-31,30,2672,89.07,"366,74", 
0004KO,2019-04-01,2019-04-30,29,2386,82.28,"328,53", 
0004KO,2019-05-01,2019-05-31,30,2457,81.9,"338,01", 
0004KO,2019-06-01,2019-06-30,29,2463,84.93,"338,81", 
0004KO,2019-07-01,2019-07-31,30,2542,84.73,"349,37", 
0004KO,2019-08-01,2019-08-31,30,2528,84.27,"347,50", 
0004KO,2019-09-01,2019-09-30,29,2390,82.41,"329,06", 
0004KO,2019-10-01,2019-10-31,30,2461,82.03,"338,55", 
0004KO,2019-11-01,2019-11-30,29,2376,81.93,"327,19", 
0004KO,2019-12-01,2019-12-31,30,2435,81.17,"335,07", 
0004KO,2020-01-01,2020-01-31,30,2444,81.47,"334,66", 
0004KO,2020-02-01,2020-02-29,28,2354,84.07,"322,73", 
0004KO,2020-03-01,2020-03-31,30,2556,85.2,"349,49", 
0004KO,2020-04-01,2020-04-30,29,2569,88.59,"351,22", 
0004KO,2020-05-01,2020-05-31,30,2656,88.53,"362,74", 
0004KO,2020-06-01,2020-06-30,29,2615,90.17,"357,31", 
0004KO,2020-07-01,2020-07-31,30,2796,93.2,"381,29", 
0004KO,2020-08-01,2020-08-31,30,2878,95.93,"392,15", 
0004KO,2020-09-01,2020-09-30,29,2728,94.07,"372,28", 
